similarity_sc,levenshtein_sc,similarity_LSTM,levenshtein_LSTM,similarity_markov,levenshtein_markov,similarity_markov_2,levenshtein_markov_2
0.4810126582278481,39,0.7105263157894737,30,0.5061728395061729,37,0.30392156862745096,58
0.3333333333333333,28,0.3333333333333333,26,0.3333333333333333,27,0.3333333333333333,27
0.6060606060606061,142,0.8353658536585366,96,0.6521739130434783,134,0.672316384180791,139
0.5112359550561798,122,0.6020942408376964,148,0.6529411764705882,103,0.4697674418604651,140
0.5877192982456141,186,0.7766990291262136,109,0.7169811320754716,136,0.7941176470588235,135
0.6137931034482759,69,0.7552447552447552,45,0.7803030303030303,54,0.6578947368421053,79
0.34375,58,0.75,31,0.4888888888888889,51,0.6666666666666666,37
0.5230125523012552,151,0.7719298245614035,93,0.8151658767772512,99,0.61003861003861,147
0.5203761755485894,172,0.7263843648208469,105,0.7597173144876325,119,0.5335276967930029,192
0.5058823529411764,102,0.5887850467289719,73,0.573170731707317,91,0.631578947368421,85
0.4444444444444444,135,0.7768595041322314,82,0.576271186440678,114,0.6311475409836066,108
0.5363636363636364,101,0.6431718061674009,92,0.6146788990825688,92,0.6531531531531531,91
0.48295454545454547,156,0.4533333333333333,187,0.4827586206896552,148,0.4397905759162304,173
0.5462962962962963,263,0.8515625,121,0.7984496124031008,186,0.8293963254593176,172
0.7096774193548387,17,0.6197183098591549,21,0.42105263157894735,32,0.5263157894736842,28
0.4444444444444444,42,0.4444444444444444,36,0.4444444444444444,40,0.4444444444444444,40
0.583969465648855,148,0.6792452830188679,130,0.6436781609195402,135,0.5290322580645161,219
0.4068965517241379,93,0.4539877300613497,96,0.44666666666666666,92,0.3817204301075269,123
0.532,248,0.7105263157894737,148,0.7079646017699115,204,0.6596638655462185,205
0.48322147651006714,193,0.7555555555555555,105,0.5753424657534246,162,0.7071428571428572,140
0.5882352941176471,56,0.644927536231884,46,0.6296296296296297,55,0.6231884057971014,54
0.3333333333333333,28,0.3333333333333333,26,0.3333333333333333,27,0.3333333333333333,27
0.41975308641975306,42,0.8133333333333334,16,0.4935064935064935,39,0.5769230769230769,34
0.47368421052631576,133,0.7436823104693141,80,0.7111111111111111,93,0.5667752442996743,144
0.6950354609929078,95,0.8444444444444444,61,0.7481481481481481,77,0.6060606060606061,105
0.5517241379310345,129,0.5222551928783383,185,0.5971731448763251,146,0.5791245791245792,196
0.32679738562091504,86,0.54,63,0.6323529411764706,55,0.5034013605442177,65
0.6256983240223464,101,0.7616279069767442,81,0.6460674157303371,96,0.5825242718446602,209
0.5246913580246914,130,0.4946808510638298,130,0.58125,123,0.4607329842931937,169
0.4174757281553398,120,0.6181818181818182,86,0.5643564356435643,100,0.5495495495495496,111
0.15789473684210525,13,0.14814814814814814,16,0.1,14,0.09523809523809523,14
0.48175182481751827,228,0.5551839464882943,197,0.5373134328358209,210,0.5159010600706714,214
0.5321637426900585,164,0.5024630541871922,176,0.6392405063291139,143,0.5754189944134078,154
0.6201550387596899,88,0.7886178861788617,63,0.7142857142857143,73,0.5163398692810458,118
0.4740740740740741,74,0.717741935483871,40,0.5112781954887218,69,0.5597014925373134,73
0.5783132530120482,43,0.7407407407407407,40,0.6091954022988506,42,0.6091954022988506,42
0.6923076923076923,82,0.8617886178861789,60,0.7421875,74,0.6643835616438356,84
0.3813559322033898,60,0.8020833333333334,26,0.696969696969697,36,0.5564516129032258,47
0.3622448979591837,213,0.6941176470588235,141,0.6540880503144654,147,0.6941176470588235,162
0.6666666666666666,19,0.7419354838709677,15,0.6307692307692307,22,0.8360655737704918,15
0.3465346534653465,148,0.6534653465346535,94,0.47368421052631576,119,0.6774193548387096,98
0.5784615384615385,188,0.76875,210,0.6521739130434783,177,0.6088235294117647,208
0.45692883895131087,154,0.6185567010309279,136,0.5625,125,0.5196078431372549,322
0.6938775510204082,42,0.7087378640776699,36,0.7029702970297029,42,0.4,113
0.675,40,0.725,33,0.7083333333333334,37,0.7457627118644068,34
0.7804878048780488,14,0.7954545454545454,16,0.7857142857142857,15,0.48214285714285715,28
0.5039370078740157,107,0.5524475524475524,153,0.5630252100840336,97,0.5079365079365079,109
0.6666666666666666,31,0.7441860465116279,32,0.8591549295774648,19,0.40939597315436244,117
0.5,87,0.6054421768707483,87,0.5573770491803278,93,0.5503875968992248,89
0.4423076923076923,152,0.665,105,0.5876288659793815,120,0.5407725321888412,129
0.6777777777777778,23,0.775,12,0.9861111111111112,5,0.7021276595744681,28
0.6951219512195121,37,0.7218934911242604,38,0.6379310344827587,53,0.6043956043956044,63
0.7606837606837606,32,0.734375,30,0.875,25,0.6176470588235294,49
